Current Team,Player,Upvotes,Previous Team,History,Official Team Total Locked
Kitties,@bryceyoungformvp,13331,,,25030
Kitties,@cardinalsred123,1850,,,25030
Kitties,@buxton_,2387,,,25030
Kitties,@supaboiiii,2618,,,25030
Kitties,@gfkmoney,2155,,,25030
Kitties,@mattymck11,185,,,25030
Kitties,@msgbrunson,0,,,25030
Voltage,@wilbus,2769,,,13864
Voltage,@ceedeelambfan,2178,Reapers,Week 4: Reapers to Voltage,13864
Voltage,@flock.ravens,446,Phantoms,Recent: Phantoms to Voltage,13864
Voltage,@masedog5111,173,,,13864
Voltage,@akalegendd,90,,,13864
Voltage,@notlikesosa,0,,,13864
Voltage,@washington,0,,,13864
Mammoths,@realsabrinacarpenter,9986,,,15871
Mammoths,@andthatsallshewrote,2604,,,15871
Mammoths,@taad,1668,,,15871
Mammoths,@car.son,0,,,15871
Mammoths,@datboybubba,0,,,15871
Mammoths,@luca,0,Phantoms,Week 5: Phantoms to Mammoths,15871
Mammoths,@mistermuyrico,0,,,15871
Phantoms,@kenunderrated,4008,,,13894
Phantoms,@george,2955,,,13894
Phantoms,@wmv0,1618,Mammoths,Week 5: Mammoths to Phantoms,13894
Phantoms,@breens,1243,,,13894
Phantoms,@richer,1229,,,13894
Phantoms,@jaylen,1049,Voltage,Recent: Voltage to Phantoms,13894
Phantoms,@mbell123,396,,,13894
Phantoms,@finsup46,0,Bandits,Week 4: Bandits to Phantoms,13894
Vampires,@seahawksfan1,10389,,,17998
Vampires,@tase,8997,,,17998
Vampires,@arachnid,3617,Phantoms,Week 4: Phantoms to Vampires,17998
Vampires,@cowan,2126,,,17998
Vampires,@jet,736,,,17998
Vampires,@burden_,0,,,17998
Vampires,@levandro,0,,,17998
Bandits,@sports,8029,,,22445
Bandits,@superbowl,6899,,,22445
Bandits,@mclean26,5412,,,22445
Bandits,@trentgrishamdadstrength,1988,,,22445
Bandits,@glazerofdrakemaye,587,Vampires,Week 4: Vampires to Phantoms | Week 4: Phantoms to Bandits,22445
Bandits,@i.love.vladdy,0,,,22445
Reapers,@laddmcconkey15,1138,,,7621
Reapers,@derikqueenfan,3488,,,7621
Reapers,@young,727,,,7621
Reapers,@sugashow_,0,,,7621
Angels,@prodraiders,1991,,,17638
Angels,@kenny,4672,,,17638
Angels,@epiikees,7814,,,17638
Angels,@67fan/meat,4451,,,17638
Angels,@damian,0,,,17638
Angels,@tripleg,0,,,17638
